Key,Description,Standard
SAY.Flowchart.4.,,Select your language
MENU.Flowchart.3,,English
MENU.Flowchart.8,,Русский
SAY.Flowchart.12.,,Иногда так хочется отдохнуть от повседневной жизни и отправиться куда-нибудь подальше от города{wi} – с этой мыслью я и поехал в деревню на выходные.
"SAY.Flowchart.19.,,""Мда… Уже вечер. {w} Если бы электричку не задержали, я бы приехал гораздо раньше и уже наслаждался отдыхом."""
SAY.Flowchart.20.,,Ладно. В любом случае у меня есть завтрашний день.
SAY.Flowchart.21.,,Теперь осталось решить последний вопрос. {wi} Где я буду сегодня ночевать…
"SAY.Flowchart.22.,,""Я планировал отдохнуть на природе, поэтому взял с собой палатку, но ее еще нужно установить. {w} А ведь солнце вот-вот сядет, и тогда найти место для ночлега будет проблематично."""
"SAY.Flowchart.23.,,""Пожалуй, не буду медлить и отправлюсь к озеру. Там я никому не помешаю, а заодно и отдохну в тишине. {w} Ведь именно за этим я и приехал."""
SAY.Flowchart.28.,,*** {w=2}
"SAY.Flowchart.29.,,""Это заняло больше времени, чем я ожидал, но наконец-то я нашел его. """
"SAY.Flowchart.57.,,""""""Озеро."""""""
"SAY.Flowchart.32.,,""Из-за легкого ветра слышался шум воды, а поверхность озера была вся покрыта рябью. {wi}  Вместе с тем шелест листвы и пение сверчков создавали прекрасное настроение для отдыха на берегу озера."""
SAY.Flowchart.33.,,...\n
SAY.Flowchart.34.,,...
"SAY.Flowchart.35.,,""""""Воу, так заснуть можно. {w} Не спать. Сперва нужно найти хорошее место и установить палатку."""""""
"SAY.Flowchart.36.,,""""""Тааак. И где же здесь спуск к воде…"""""""
"SAY.Flowchart.37.???,,""""""Добрый вечер."""""""
"SAY.Flowchart.38.,,""""""А! Кто здесь?"""""""
"SAY.Flowchart.39.???,,""""""Ой, я не хотела вас напугать."""""""
"SAY.Flowchart.59.???,,""""""Просто увидела, что кто-то гуляет возле озера и захотела поздороваться."""""""
"SAY.Flowchart.40.,,""Передо мной стояла невысокая девушка с белоснежными волосами. Она говорит, что просто хотела поздороваться. Со мной давно никто просто так не здоровался..."""
"SAY.Flowchart.41.,,""""""Все в порядке, я просто не ожидал, что встречу здесь кого-то в такое позднее время."""""""
"SAY.Flowchart.61.,,""""""Ты ведь где-то здесь живешь? Не знаешь, как спуститься к озеру."""""""
"SAY.Flowchart.42.???,,""""""Раньше к нему можно было свободно спуститься по ступенькам, если пройти чуть дальше. {w} Но сейчас охранник никого туда не пускает ночью. {wi} Это из-за одного несчастного случая… {w}"""""""
"SAY.Flowchart.43.,,""""""Серьезно!? {w} И что же мне теперь делать… {wi} Ах да, меня зовут Иван."""""""
"SAY.Flowchart.62.Иван,,""""""Я приехал сюда на выходные, чтобы отдохнуть от городского шума, но мою электричку задержали, и теперь мне надо побыстрее найти место для ночлега."""""""
